context,question,answer,start,end
A woman sells flowers and incense at the market .,Who sells something?,A woman,0,1
A woman sells flowers and incense at the market .,What does someone sell?,flowers and incense,3,5
A woman sells flowers and incense at the market .,Where does someone sell something?,at the market,6,8
People walking along a river near a beautiful homestead .,Who is walking somewhere?,People,0,0
People walking along a river near a beautiful homestead .,Where is someone walking?,along a river,2,4
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who is demonstrating something?,A young man,0,2
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,What did someone demonstrate?,his prowess,4,5
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who did someone demonstrate something for?,his girlfriend,11,12
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,When did someone demonstrate something?,as she sits on a concrete wall,13,19
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who sits somewhere?,A young man,0,2
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Where does someone sit?,on a concrete wall,16,19
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,What does someone sit on?,a concrete wall,17,19
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who is determined?,A man,0,1
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is determined?,look,5,5
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who holds something?,A man,0,1
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What does something hold?,a small wooden hammer,10,13
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",When does someone hold something?,while wearing a bib displaying a large red crab,14,22
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who is wearing something?,A man,0,1
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is someone wearing?,a bib,16,17
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What displays something?,a bib,16,17
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is being displayed?,a large red crab,19,22
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is held?,another red crustacean,24,26
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Where is something held?,in his hand,28,30
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What is something held in?,his hand,29,30
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who sits?,another man,32,33
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who holds something?,another man,32,33
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What does someone hold?,some food,37,38
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Where does someone hold something?,behind him,39,40
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Who works?,A woman,0,1
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Where does someone work?,on a piece of computer equipment,3,8
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What does someone work on?,a piece of computer equipment,4,8
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",Who is surrounded?,A woman,0,1
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What is something surrounded by?,a variety of mechanical and computer equipment,13,19
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What does something appear to do?,to be some type of laboratory workroom,24,30
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Who is wearing something?,a man,2,3
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is someone wearing?,construction gear,5,6
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Who is standing somewhere?,a man,2,3
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",Where is someone standing?,next to a bulldozer,9,12
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is picking up something?,a bulldozer,11,12
"There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",What is being picked?,rubble and debris,17,19
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Who is wearing something?,A male adolescent or young teenager,0,5
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What is someone wearing?,camouflaged shorts or long swim trunks,8,13
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What is reservoir?,top,33,33
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Where is something reservoir?,in the corner,35,37
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What graveled somewhere?,cement walls,29,30
A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,Where does something graveled?,in the corner,35,37
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is wearing something?,A man,0,1
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,What did someone wear?,a black suit,3,5
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is surrounded?,A man,0,1
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is someone surrounded by?,many people,9,10
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Where is someone surrounded?,inside a building,11,13
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Who wore something?,A man,0,1
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",What did someone wear?,a black shirt and blue jeans,3,8
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Where did someone wear something?,up in the air,9,12
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Who held something?,A man,0,1
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",What is holding?,a plywood,14,15
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",Where is something being held?,in each hand,16,18
A hair designer working during renovations .,Who is working?,A hair designer,0,2
A hair designer working during renovations .,When was someone working?,during renovations,4,5
A child that is dressed as Spiderman is ringing the doorbell .,Who is dressed?,A child,0,1
A child that is dressed as Spiderman is ringing the doorbell .,How is someone dressed?,as Spiderman,5,6
A child that is dressed as Spiderman is ringing the doorbell .,What is someone dressed as?,Spiderman,6,6
A child that is dressed as Spiderman is ringing the doorbell .,Who is ringing something?,A child,0,1
A child that is dressed as Spiderman is ringing the doorbell .,What is someone ringing?,the doorbell,9,10
A tarp wrapped around a tree and a watering can .,What is wrapped?,A tarp,0,1
A tarp wrapped around a tree and a watering can .,Where is something wrapped?,around a tree,3,5
A tarp wrapped around a tree and a watering can .,What is something wrapped into?,a tree,4,5
A man cleaning the inside of a large pane of glass .,Who is cleaning something?,A man,0,1
A man cleaning the inside of a large pane of glass .,What is someone cleaning?,the inside of a large pane of glass,3,10
Three people walking through a ravine between two rocky cliffs .,Who is walking?,Three people,0,1
Three people walking through a ravine between two rocky cliffs .,Where was someone walking?,through a ravine,3,5
Three people walking through a ravine between two rocky cliffs .,What is someone walking into?,a ravine,4,5
A small boy playing with a toy train set on a tabletop .,Who is playing with something?,A small boy,0,2
A small boy playing with a toy train set on a tabletop .,How is someone playing?,with a toy train,4,7
A small boy playing with a toy train set on a tabletop .,What is someone playing with?,a toy train,5,7
A small boy playing with a toy train set on a tabletop .,Who was set?,A small boy,0,2
A small boy playing with a toy train set on a tabletop .,What is set?,A small boy playing with a toy train,0,7
