context,question,label,answerA,answerB,answerC,answerD,answerE
"'Still , Preetam wants to see Nandini if she meets him again .",How much had they known each other?,E,every couple of months,all time,three questions,only a few -,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,before they laughed,10 seconds,they can only eat 1 meal per day,once a week,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much had they known each other?,E,a couple of years,only a few centuries,the who ignored the population,one hour,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,planes are hijacked every a hour,60 years,30 years,four times every hour,None of the above
"'Still , Preetam tried to ask Nandini if she meets him again .",How much had they known each other?,E,this was put into practice,a second,for several years,two -,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,E,2 centuries,3 seconds,10 years,90 years,None of the above
"'Still , Preetam wants to kill Nandini if she meets him again .",How much had they known each other?,E,9 times per year,many hours,i asked if she had a jim beam,each day,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",What happened before they met?,C,two years,a couple hours,they were lonely,10 years,None of the above
"'Still , Preetam wants to help Nandini if she meets him again .",What happened before they met?,A,they were seeing different people,right now,3 seconds,a few hours,None of the above
"'Still , Preetam wants to kill Nandini if she meets him again .",How much did they think of each other?,E,one year,place it in a gallery,every century,about once a minute,None of the above
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,E,always,never,sometimes,rarely,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,A,every day,every 6 years,come back and,she got a job,None of the above
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,D,it was accepted by others,the first friday of each week,it can take 1 second to grant a subpoena,daily,None of the above
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,E,never,many hours,a few seconds,start the rift,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",How much did they think of each other?,E,every month,no they remain ions,15 days,she wanted strong government,None of the above
"'Still , Preetam wants to meet Nandini if she meets him again .",What day did they meet?,A,saturday,3.5 hours,after midnight,he places it on exhibition,None of the above
"'Still , Preetam used to like Nandini if she meets him again .",What day did they meet?,B,within a few hours,friday,for 6 years,yes they do this every century for fun,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,B,he places it on display,they went out to have supper,many of whom operate small -,he places it on exhibition,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,C,5 days,a month ago,they walked and,many of whom operate small -,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,E,they sold a little,he visited other countries,several years,7.33 years,None of the above
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,B,no they remained ions,they went and,organize ways to kill the terrorists,all time,None of the above
'Max and Joey would also run through them in a game of chase.,How often would they run through the fields?,C,always,2 years,max and joey ran 20 % through the fields,destroy it,None of the above
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,B,"""","30 """,once every 90 %,a few seconds,None of the above
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,E,twice each month,each few weeks,2 seconds,2 times each week,None of the above
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,E,he places this on display,spanish magazine and newspaper publisher leading,begged for money on the street,1.67 times a week,None of the above
