,context
0,"Ajax have attacked rivals Manchester United in the last few weeks after a string of defeats and the player refused to attend the Europa League final in Kiev on Sunday.
Middlesbrough are bottom of the Premier League after a 2 - 0 defeat"
1,"A judge vacated the verdict and sent the case back to the jury.
Carson was asked if he wanted to help out and told him to take care of the project.
Riley and her friends were on a camping trip and wanted to make"
2,"On the occasion of her retirement from the Army , Brigadier General Jan Kiska will be retiring from the Army at the end of October . She is currently assigned to the 7th Armor Brigade .
It was a long day of battles , and"
3,"The first two days of the camp were basically straight up camping . There were a few afternoon activities in the park adjacent to the camp , but nothing in particular that really stood out to me . We had a ranger leave the camp at 8:00 and"
4," she has a spirit and has a talent for making a team win . she has talent for the team , and she does it well . she is very much the same person who is always on the lookout for new people to join the group . she is"
5,"Tired of the busy schedule, Sam decided to take a day off and spend time with his Mom and Dad.
Riley made his first tarot card and got a lot of good luck.
Robin was tutoring a little kid and taught"
6,"Today I was going through my work. I was thinking about how to improve my work and how to increase my productivity.
I just got back from a trip to my hometown where I had a sudden episode of stomachache . I had to go to"
7," still had the fun . I was able to make tacos . "" With all that going on , I was wondering if I 'd have to sit and do absolutely nothing ? I asked . "" No , "" she said . "" I 'll have to"
8,"Sydney has been watching me a lot lately. It has been nice to see her so much and she has been helping me move and get some things done.
Jade cut me loose on the bus to the airport so the two of us"
9,"A district court judge in Florida was recently forced to issue an order to return explosives to the owners for a third time.
Ash was out running when she got a call from her boyfriend. Ash went to the boyfriend's house and told him about Ash"
10,"Kendall saw her friend from college and they had a very fun time together.
Sasha was crying because she could not stand the fact that someone was making fun of her hair. Sasha was worried that she would be seen by others.
"
11,"In an interview with the Daily Mail , actress and activist Rose McGowan said that she would prefer to have a lie detector test in order to protect herself from the threat of unsolicited sexual advances.
One of the worst things she could think about"
12,"Travelling alone is not an option for most of us . We do n't have a car and when we do , we often find ourselves in the wrong place at the wrong time .
I ate the very last thing I had in the fridge"
13,"What is the value of a friend ?
I made some plans to meet my sister and her wife in the corner of the room next door. The wife was at work and I was in the next room for a conference call . I was quick to"
14,"There is one problem with this idea , though : Most of the people I know are sissy , and I think most of them are a lot like me . Anyway , I think I ' ve recently gotten over my fear to play with the toy"
15,"Kai was just a little surprised when he saw that the next day was the New Moon.
Aubrey was so frustrated that she said something.
Sydney wanted to go to the party with Cameron and his friends but was afraid to"
16,It was a great day - the only downside was that it was raining and we had to share a bus with a friend . We arrived at the airport just before 11:00 and got on the bus . We took the train to the airport .
17,"Image copyright Getty Images

The Spanish Food Network has launched a documentary series called ""Ovened."" The series is based on the book of the same name by a Spanish chef who became a national celebrity for cooking a dish that literally turns on the"
