context,question,answer,label,index1
A group of teenage boys hang out in a loft .,Where does someone hang up?,building,no,2046
Two gondolas passing in a canal .,What is passing?,gondolas,yes,384
Boaters follow each other single file over the damn .,Who follows something?,Boaters,yes,2068
Soldiers march in their olive drab uniforms carrying weapons from the WWII era .,Where does someone march?,fashion,no,446
Many woman on laying on bellies on floor holding hands .,What is someone laying on?,bellies,yes,846
A group of images watches a boy on a skateboard launch off a ramp .,Who watches something?,A group of people,no,2243
Two men on rollerskates are facing one another as others are passing them or coming upon them as an audience watches their interaction .,Who is someone facing?,person,no,3814
Small that seeks comfort from his owner in this shopping scene .,What seeks something?,Small dog,no,703
"A first wearing a brown scarf and sunglasses , walks through a shopping outlet .",Who wore something?,A woman,no,735
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Where does someone walk?,while,no,2654
four men sit on a stage playing woodwind music looking at the four music stands in front of them which have the words The Thistle on them .,What is someone playing?,woodwind instruments,no,2611
"An older man sitting on a blue sack playing a sitar for money , with a young boy sitting on a white sack next to him .",Where was someone sitting?,on a blue stool,no,3883
"The which lunges forward seeking the point , while the defender easily steps aside",Who lunges?,The competitor,no,3823
Ice they take on a whole new meaning in Alaska .,What takes?,Ice sculptures,no,437
A group of silk clad performers dance in the street as a sparse crowd watches .,Where was someone clad?,center,no,2152
"Several other dressed in blue , one is twirling a ribbon",Who was dressed?,Several people,no,1423
"A group of people dressed in swimwear standing outside in a snowy , woodsy location .",What was someone dressed in?,swimwear,yes,3967
The rider throws his hand up for balance as the brown horse bucks .,How does someone throw something?,races,no,1756
A woman wearing chef clothing stands proudly displaying intricately carved fruit- one a watermelon carved into flowers and the other a pineapple with geometric shapes .,What is someone displaying?,fruit-,yes,3766
A muslim in a turban on his knees praying .,Who is praying?,dressed,no,2682
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms ; two are standing while the others are talking .,When is someone standing?,while the others are seated,no,787
Soldiers march in their olive drab uniforms carrying weapons from the WWII era .,When is something being carried?,period,no,450
A man on a city street is taking a photograph of someone dressed up like a spaceman .,How was someone dressed?,spaceman,yes,1154
Bicyclist walks bike down a tunnel that does n't allow cycling .,Who walks something?,Bicyclist,yes,2694
A people who caught a giant fish reels it in then picks it up with a extended net .,Who picks something up?,A guy,no,3841
"A bike is flipped upside while someone , their identity obscured by a blue hoodie , works on the back tire .",When is something flipped?,door,no,3226
Three firefighters work to put out a blaze .,What did someone put up?,fire,no,4354
A man is cleaning his yard with a leaf blower .,What is someone cleaning something with?,blower,yes,1276
A man is pouring grain from a sifter onto a very colorful blanket .,Who is pouring something?,someone,no,4036
Two young male hikers using a map and compass to find their direction in the woods .,What did someone use?,others,no,980
"A man with a white shirt and pants wearing a black and white hat in front of a fire hydrant leaning against a white truck that says Caution - Children , Good Humor .",Where was something worn?,hydrant,yes,1692
A from plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,Who is trying something?,A man,no,4025
A man hunts for treasure on the beach using his metal hand .,How does someone hunt for something?,using his metal detector,no,149
"An Indian women sitting down with her hand outstretched , in a blue dress and expensive jewelry .",How is someone outstretched?,shoes,no,4198
A girl with blond - hair is playing darts .,What is someone playing?,game,no,2876
"While shielding their eyes , patient onlookers await the arrival of the solar eclipse .",What is being shielded?,ears,no,3152
"At an intersection , a couple is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",Who is pushing something?,a man,no,2823
Two dogs of the same breed are running through water that has buried grass .,What is something running into?,snow,no,2049
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,What did someone hold?,hands,no,810
Soccer player putting on moves that you thought could only happen in a video game .,Who might happen?,they,no,896
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,Where does something look?,fairway,yes,1322
"A craftsmen sits , gazing down at his work as he hammers a chisel at his work in order to carve small details onto the statue .",How is someone gazing?,intently,no,3987
"A person with gray hair , dressed entirely in gray , lies on the wooden slats of a park bench .",Where does someone lie?,park,no,1940
A brown dog is lying on a grassy field as the wind blows through his fur .,What blows?,heat,no,210
"A group of three individuals involved in an event geared towards epilepsy , singing and performing for a group of students .",Who was someone singing for?,a group of people,no,4265
a man wearing ear defenders is shooting a pistol at a white person .,Where is something being shot?,at a white target,no,2347
"A man is exiting a port - a - potty , relieved he can smell fresh air .",What is relieved?,##ness,no,4378
"A man riding a four - wheel ATV in the dessert , kicking up sand in his wake .",Where is someone riding something?,corner,no,370
A man wearing a vest with numerous buckles and goggles on his forehead looks down at a woman in red and black striped pants who is wearing lace gloves and holding a toy gun .,How does someone look?,back,no,526
A baby wearing a white sleeper is sleeping in a crib .,Where is someone sleeping?,crib,yes,1362
A military man training his dog for them .,What is someone training something for?,combat,no,3319
A man in a green machine is cleaning a building in front of the Drake hotel .,What is someone cleaning?,a pump,no,1259
A most bungee jumping with the coordinator watching from above .,Who is jumping?,A person,no,159
A chef in a red apron and white hat is carving food from a spit .,What is someone carving?,meat,no,3635
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,What was someone smiling at?,people,no,864
A woman walking on a sidewalk with a metal piece of her bag creating a glare .,What is someone walking on?,wall,no,2396
A man in a black hat & black shirt painting a slogan in the road for a possible event .,What was painted?,place,no,3186
"You must have a great personality , since you chose to conduct this survey - type test .",What did someone choose?,to conduct this survey - type layout,no,4291
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,What is someone carrying?,child,no,2462
"The competitor lunges forward seeking the edge , while the defender easily steps aside",How does someone lunge somewhere?,seeking the point,no,3825
A person is using a dropper to disperse colored light into a clear beverage .,What is being dispersed?,colored liquid,no,3961
Many they gather to watch a new invention .,Who gathers?,Many people,no,2811
Person carrying a bunch stuff in a shoulder sac walking along a sidewalk .,Who is carrying something?,like,no,1774
A throng of travelers is walking between two people on an indoor station platform .,Where is someone walking?,between two trains,no,2537
"A woman is riding a bicycle in her chest with "" No Oil "" painted on her chest .",Where is someone riding something?,in her underwear,no,3087
Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background .,When does something sit somewhere?,room,no,2898
Two girls holding a box of milk in a long underpass with cars in the background .,What is someone holding?,a box of possessions,no,2673
A heavily adorned buddhist or hindu religious figure wearing an ornate dress on an ornate throne holding a quill .,What did someone wear?,an ornate crown,no,1613
Fall shoppers and bistro food lovers caught in the ebb and flow of the world .,What was someone caught in?,the ebb and flow of the city,no,3213
An elderly lady in a brown hooded coat takes a newspaper from a friendly old man with a stack of papers he is distributing in a large foyer .,Where is someone distributing?,voice,no,2122
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,What does someone sit in?,a highchair,yes,2759
A that puts the finishing touches on his graffiti artwork .,Who is finishing?,A man,no,3005
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",What does someone lubricate?,person,no,852
"Three people are in an alley with a dumpster , one skateboarding over the dumpster while the other two look on .",Who is skateboarding somewhere?,they,no,2320
Three men repairing the streets by means of manual labor .,Who is repairing something?,from,no,2590
Men dressed in either theatrical or historical attire riding horses .,Who is riding something?,which,no,1000
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,Who is holding something?,they,no,1286
A clergyman sits in an old - fashioned wooden confessional .,Where does someone sit?,confessional,yes,252
A person in a purple jacket is squatting around several moose .,Who is squatting?,someone,no,2808
"A young lady wearing a turquoise colored bustier over a black shirt , a black skirt , netted tights , and laced up gloves is sitting next to five other young ladies , most of which are also dressed in black colored fitted suits .",What is colored?,fitted clothing,no,3267
Four similarly styled brightly dressed women with long hair dancing in the sunlight with trees framing their movements in the background .,What is dancing?,brightly dressed women with long skirts,no,453
A yellow truck with Casterol branding leads a white truck and blue truck down the road .,What leads something?,##er,no,534
Military trainees in a rubber raft hook a ladder onto a larger boat .,What does something hook?,person,no,752
"Three people , two males and a female , work in shallow dug out areas during an archaeological excavation .",What does someone work in?,shallow dug out pits,no,4139
"A pair of athletes are in a kayak equipped with protective gear and oars , rowing down a rapid body of water in a blue and white kayak .",What is something equipped with?,oars,yes,4098
A large black gorilla peers down at a group of young adults from above while the peer inside his enclosure from below .,Where does someone peer?,at a group of young people,no,3241
A group of Asians are eating food with one passing another a napkin .,Where is someone eating?,outside,no,3477
A football player in red being tackled by opponents in white .,Who was someone tackled by?,someone,no,1544
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What does someone wear?,dress,no,2666
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,What sits somewhere?,turtleneck,yes,2754
A when wearing shorts is feeding two llamas or alpacas in a field .,Who is wearing something?,A woman,no,3437
"Wedding attendees dancing a song , before the bands starts .",How is someone dancing?,a little,no,3725
"A man is sitting on a bannister on a pier holding a bunch of colorful balloons , while more balloons tied to the bannister behind him blow in the wind .",Where does something blow?,night,no,3808
A group of men are re - enacting a story and have a woman as their prisoner .,What is someone enacting?,a battle,no,3559
He jumped into the pile of leaves we just finished raking .,Who finished something?,like,no,262
A child is holding a cleanser in front of an example .,Where is someone holding something?,in front of an oven,no,1015
Person carrying a bunch kids in a shoulder sac walking along a sidewalk .,What is someone carrying?,a bunch stuff,no,1775
A father and his son cutting a point during a dinner party held at their residence in texas .,What was someone cutting?,a cake,no,1267
A this applies lip balm .,Who applies something?,A bride,no,1707
"A young boy watching with great interest , two people using a saw to cut some metal .",Who is watching?,people,no,4082
Three children play together and act like celebrities with their props .,Who plays?,they,no,1640
"A man wearing a plaid cap , his arm covered in tattoos , pours a mixed drink into a martini glass that sits beside an squat liquor bottle with a silver label , a dark brown bottle with a light label and a green bottle with a striped , brown label .",What does someone pour?,coffee,no,3944
A man reads a placard on top of a monitor .,What does someone read?,placard,yes,1624
A they is helping another woman with the closure on her dress .,Who is helping someone?,A woman,no,2835
An unidentified woman sleeping in a very unusual nook of a decorative stone structure .,What is someone sleeping in?,wall,no,3134
A young boy is using a hand to spell out something on a thin sheet of metal with engraved bolts .,What is someone using?,a hammer,no,4077
A man climbing an icy glacier with the assistance of a pick .,Who is climbing something?,after,no,1468
A group of people dressed as American forefathers holding flags with a crowd and a brick building in the background .,Who held something?,A group of men,no,809
Two men working at a Donut Shop promote their new product candied apples as Customers decide what is the healthiest option .,Who decides something?,they,no,3412
Two men are giving shoeshines in an outdoor setting .,Who is giving something?,they,no,2218
"A ma is placing a medal over the head of a young man wearing glasses , who has a big smile on his face .",What is someone placing?,device,no,3848
Several individuals getting together to play the bagpipes and eat some food .,Why is someone getting something?,to play the bagpipes and eat some cuisine,no,4339
All are dancing with full energy to the music sung by the singer .,What is someone dancing with?,attention,no,1606
"An older man sitting on a blue stool playing a sitar for money , with a young boy sitting on a white sack next to him .",Where was someone sitting?,stool,no,3890
Man dressed up in black and brown and holding a white light weapon .,What is someone holding?,a white light saber,no,1247
"A farm woman wearing blue waders , a pink shirt , and a straw hat is harvesting crops in a paddock .",What is someone harvesting?,rice,no,3529
A stream of men wearing old century viking costumes and armor are marching along a walkway with stone buildings in the background .,What is someone wearing?,clothing,no,3034
Girl in red jacket ponders while sitting in an art museum with cubes on the floor .,What is someone sitting in?,room,no,1466
A man sitting down at a bus stop with a Calvin Klein ad behind him .,Where was someone sitting?,station,no,3098
A white and brown dog is pooping whist attached to leash by a tree .,What is pooping?,there,no,1788
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete bench that is part of a general seating area .,What does someone sit on?,a concrete wall,no,11
A bare legged little boy is tugging on his underpants .,What is someone tugging on?,his underpants,yes,3921
"A never standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Who shoves something?,A child,no,1415
A woman sits alone in the dried stray awaiting an animal in the wild .,How does someone sit?,hidden,no,2571
A man working at a lathe in a woodworking shop .,What is someone working at?,lathe,yes,144
Two they on wakeboards attempt to give one another a high - five .,Who attempts to do something?,Two kids,no,1019
"One man in a blue coat is doing an ice sculpture , while a second man dressed in tan is raking up ice shavings .",What is someone dressed in?,black,no,394
Men dressed in camouflage assist in helping clean up a grassy area .,Who was dressed in something?,they,no,1176
This young girl is enjoying the innocence of childhood and warm weather .,What is someone enjoying?,##ness,no,134
"overhead view of two people , a man and a woman , preparing a meal with potatoes .",What is something being prepared with?,them,no,858
An Asian man is going over some paperwork that is sitting on a table with a pink carnation to two other men and a woman all of which are wearing glasses .,What is someone going into?,people,no,4054
A young woman sits in a salon in front of a mirror while another woman braids her brown hair .,Where does someone sit?,chair,no,388
"You must have a great personality , since you chose to conduct this survey - type layout .",What did someone conduct?,test,no,4294
Many people gather to watch a new show .,What does someone watch?,a new invention,no,2815
"A man on horseback pulls back sharply on the reins while holding a coil of rope , as he waits to come out of a chute in a rodeo competition .",Where does someone come?,chute,yes,3344
"A man controlling a dog sled approaches another dog sled team in a narrow , snowy passageway between two sets of houses .",Where does someone approach someone?,"in a narrow , snowy passageway between two sets of trees",no,1961
A young girl dancing Brazilian music Samba after Brazil soccer national team had won the Fifa World Cup .,What did someone won?,club,no,1882
A large black gorilla peers down at a group of young people from above while the peer inside his enclosure from above .,Where does someone peer into something?,while the peer inside his enclosure from below,no,3243
A worker dressed in orange overall sprays off an ocean side road with high pressure pressure .,How does someone spray something?,with high pressure water,no,4301
A woman plays the recorder while a man plays the recorder .,What does someone play?,the harpsichord,no,2259
A group of people watches a boy on a skateboard launch off a building .,Where does someone watch someone?,on a skateboard launch off a ramp,no,2245
Person carrying a bunch stuff in a shoulder sac walking along a sidewalk .,Who is walking somewhere?,like,no,1778
A woman wearing a babushka is sitting and sleeping inside a flower shop .,What is someone wearing?,babushka,yes,1202
He jumped into the pile of dirt we just finished raking .,What did someone jump into?,the pile of leaves,no,261
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",Who is sitting somewhere?,girl,no,2844
they riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,Who is riding?,Kids,no,937
A woman designer extolling the virtues of one of her paper books to a potential client .,What did someone extoll?,the virtues of one of her paper lamps,no,2947
A street performer on stilts walks on the stone tiles and discovers the women escaping with the suitcase .,Who does someone discover?,the thief,no,103
People sitting students in a shipyard with boats tied down in the background .,How was someone sitting?,down,no,3741
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in groups in lawn chairs .",Where is someone seated?,in front,no,2443
The nurse smiles as she gently rubs the tummy of the sleeping child .,Who rubs something?,they,no,2784
Athletes wearing helmets and jackets displaying logos of multiple players walk down a road with an audience lined up along the road .,What is being displayed?,logos of multiple sponsors,no,4107
A man in blue jeans dances with his girlfriend who is wearing a white shirt .,What is someone wearing?,dress,no,4252
A church band is performing a Christmas carol while a projector in the background displays the lyrics .,Who is performing something?,A church choir,no,403
The someone in the blue saree is laughing .,Who is laughing?,The woman,no,1727
"A black and white spaniel gently mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks both amused and somewhat disgusted by the dog 's touch .",How is someone disgusted?,somewhat,no,3173
"A man walks through a clearing and carries a rifle along his back , casually holding it by the muzzle .",Who is holding something?,that,no,3752
"A man bent over in a forest wearing a red shirt and blue jeans , tapping the trees for maple syrup .",Who was tapping something?,they,no,3508
"There is a marching band , the next closet to the camera is wearing red and is playing the drums .",Who is closeted?,the man,no,3619
Two sometimes playing instruments on the street to entertain passer byes .,Who entertained someone?,Two men,no,3421
A little girl is reading a storybook on a flowered sofa .,What is someone reading?,a storybook,yes,515
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is covering something?,suit,no,2434
An older gentleman carving granite with a chisel .,How is something carved?,with a chisel,yes,3015
A man and women taking a nap on a makeshift rip .,Who takes something?,A man and woman,no,755
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the statue .",Who is gazing?,then,no,3986
A dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball .,Where does something jump somewhere?,area,no,1222
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Why is someone standing somewhere?,river,no,1414
Two men practicing MMA submission holds,What is someone practicing?,from,no,990
"Several bike walk in a parade , wearing American paraphernalia with onlookers nearby .",Who wore something?,Several bike riders,no,2489
A furry black and white dog jumps over a bar during an agility test .,Where does something jump?,wall,no,2296
A team of players gather around a coach who welcomes players with appraisal .,Who does someone welcome?,them,no,3455
"One man with glasses , dressed in fatigues is pointing and talking to other men standing next to him .",Where is someone standing?,them,no,1936
A young Asian man studying with a pencil and a dictionary while drinking a cola .,When did someone study with something?,drink,no,1168
A from in blue jeans dances with his girlfriend who is wearing a white shirt .,Who dances?,A man,no,4249
A little boy presses his face a window .,What does someone press something in?,little,no,1106
A young boy in a red shirt and ball cap is participating in an Easter Egg hunt and has found numerous eggs all in one area that he 's picking up .,Who is picking up something?,shorts,no,4004
A medical professional operating a microscope and viewed on a computer .,What is someone operating?,computer,no,398
A man in a Tyrolean hat decorates a tan and white cow with ribbons and evergreen while a woman holds the cow 's head .,When does someone decorate something?,breast,no,3472
people making strawberries drink on a hot day .,When is something being made?,stove,no,510
Young someone with red - hair and heavy eyeliner balls up her food wrapper .,Who balls up something?,Young girl,no,3091
A another in gray slacks is standing at a food booth waiting to be served .,Who is standing somewhere?,A businessman,no,1479
"A pair of athletes are in a kayak equipped with protective gear and oars , rowing down a rapid body of athletes in a blue and white kayak .",What is someone rowing into?,a rapid body of water,no,4101
A fancily dressed elderly man plays a baritone as it is set aflame .,What is set?,song,no,3722
A group of women being served hors d'oeuvres at an affair .,What was someone served?,hors d'oeuvres,yes,1429
A group of elderly peddlers selling blow up balloons and toys along the side of a building .,Where does someone blow up something?,along the side of a street,no,2015
A child that is dressed as Spiderman is ringing the doorbell .,How is someone dressed?,Spiderman,yes,60
A small boy playing with a toy train set on a tabletop .,What was something set on?,tabletop,yes,78
A teenage boy and girl enjoying fondue .,Who is enjoying something?,others,no,3626
Man at party receiving beer pillow ##ing .,What is someone receiving?,beer pillow gift,no,1355
Soldiers march in their olive drab uniforms carrying items from the WWII era .,What is someone carrying?,weapons,no,449
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Who asks someone?,hospital,no,2926
"A young lady wearing a turquoise colored bustier over a black shirt , a black skirt , netted tights , and laced up gloves is sitting next to five other young ladies , most of which are also dressed in black colored fitted clothing .",Who is sitting somewhere?,woman,no,3262
