ID,question,option1,option2,label
3IZPORCT1HNKMOS3VDDM0TWQ7WKHRF-2,"Brooke liked to read a lot of books, but her favorites were horror and satire. The _ were funny.",horror,satire,2
31D0ZWOD0AX2II1JBW8F7DKQWCWA0S-1,For a business to be successful it has to begin from the ideas themselves. The _ should succeed.,Business,Ideas,1
3BVS8WK9Q0TI8NNRL0XH8S4S0SQIBQ-2,"While having a discussion about what to make for dinner, Leslie suggested making rice; Joseph preferred pasta. _ agreed to make rice instead.",Leslie,Joseph,2
3RHLQY6EDVIW92L3Y5YJ1F6HMI3D4W-2,"At dinner time, Tanya ate Erin's serving of peas even though _ really likes green vegetables.",Tanya,Erin,2
3MG8450X2O8PL8J1YM4WMFXS6A4UP4-2,The life coach asked Katrina to set a goal but not Amy because _ was way ahead schedule.,Katrina,Amy,2
3LAZVA75NIPYGWYY02HBRWXAITV2OI-2,"The gun store sold a new ammo that was made from a new copper plating and gunpowder, but the _ ignited easily.",plating,gunpowder,2
3W31J70BAUA7IC4SJ1QOOQDVY81CKD-1,"Since Benjamin was a celebrity and Kenneth was unknown, _ was followed whenever they were in public.",Benjamin,Kenneth,1
375VMB7D4JHBNKLBZWON3ISS3B2IDT-2,"The toddler kicked the soft furniture and hard toy, but only the _ caused pain.",furniture,toy,2
3OPLMF3EU5LMZXKU9TZ3R3WETYMLN5-2,Rebecca wears their hair in a ponytail but Victoria does not because _ has short hair.,Rebecca,Victoria,2
3W3RSPVVGU5EOC3AQSNPXWCHVG2ULG-2,"The resident chose between a home in the city and a home in the suburbs, he went with the _ because there is more activity.",suburbs,city,2
3LN3BXKGC29BUOEEA15A2SS6K05WGV-2,The fur on the teddy bear was different than the hair on the real pony because the _ was natural.,fur,hair,2
3X2LT8FDHWGH7K9P75HMIHNZ2H88WS-1,Samuel scratched their head more often than Joel did because _ had a case of lice.,Samuel,Joel,1
3EKTG13IZWHVB4Y1HQW36MVNIQTML2-1,She had to take the collar off from their cat's neck because the _ was tight.,collar,neck,1
3HRWUH63QU08X8H9H6JWAE0H7F25NV-1,"Since Elena fell into the river while Rebecca remained in the boat, _ ended up very wet on the excursion.",Elena,Rebecca,1
306W7JMRYYWPJHBECELQV3AESFY8BI-1,Logan preferred to snowboard while Kyle wanted to do biathlon so _ went up the hill.,Logan,Kyle,1
36AZSFEYZ6E2OI6Y4580FFIVYTTVBG-1,"The sink looked moldy, but the bathtub was sparkling, because John had neglected the _ .",sink,bathtub,1
32204AGAADQTXYJPF2JA1PIJ6TRHGE-2,"Matthew, who was rich, and Lawrence who was poor, both wanted to be a volunteer _ wished he could afford to.",Matthew,Lawrence,2
3P7QK0GJ3VZP9PBCM94SZSSNSZDZ2B-1,The picture frame stayed on the wall while the mirror fell down since the _ was heavier.,mirror,frame,1
3OZ4VAIBEXDTCC538Z9HL5DZBJZVJO-2,Samantha looks a lot younger than Mary does although _ uses a cream that fights wrinkles and age lines.,Samantha,Mary,2
3XU80RHWH1UJ962A5UXQYBCCAHK44B-1,I had to buy a new pair of socks for the game but not shoes since the _ had holes in them.,socks,shoes,1
3UZUVSO3P99H5YO9049ZTR539XZEMM-2,James realized he can put more jeans in the box than jacket. The _ is bigger.,jeans,jacket,2
307FVKVSYTTGSTKT7SVX1NWM1JA47V-1,James realized he could eat more of the apple unlike the banana because the _ is small.,apple,banana,1
36JW4WBR06I8P9ONKK1SR6UYAUBHFF-1,"The project meant Emily collaborated with Victoria, who was not excited. _ loved working with others.",Emily,Victoria,1
3538U0YQ1H88PQGVPXOQFAHXL7X3FD-2,Jake ate the cake instead of the pie because there was less sugar in the _ .,pie,cake,2
3SNR5F7R92RGFQZBVRZ790ADY2RIEZ-2,William thinks coyotes are dangerous and Donald does not. _ watched a coyote in their backyard.,William,Donald,2
3VJ4PFXFJ5LXSTC6T1YZOIW50SUUAY-1,"The mirror didn't lie when it showed how overweight Patricia was and how emaciated Felicia was, so _ needed to go on diet.",Patricia,Felicia,1
3UYRNV2KITXRKQ0BF4QZMYA89548N1-1,"Lawrence caused the hazard that Nick had to clean up, so _ felt guilty throughout the restoration.",Lawrence,Nick,1
391FPZIE4CKX8RLDF9WRD6V1PX5UH7-2,"Chris decided to wear her loafers to the funeral instead of her sneakers, because she felt the _ would be inappropriate for it.",loafers,sneakers,2
3JU8CV4BRNQ92SYBMY4NF7TBHW4PO2-2,"Christopher grew up hunting while Kenneth lived in the city, so when they got lost in the woods _ needed them to survive.",Christopher,Kenneth,2
3X0EMNLXER34SC78NAQ1AZNJDNYVP3-1,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha because _ was a sinful criminal.",Monica,Samantha,1
3HUR21WDDW3Q5F44ECN2BBDHZEAYXU-2,"Mary attended friend's wedding wearing a red dress instead of a white dress, the _ color is appropriate.",white,red,2
3KTCJ4SCVIFILXUXOGEKM7M9LKH1M5-1,The range of the gun was restricted after the barrel was shortened because the _ is dependent of it.,range,gun,1
3P520RYKCH4LSY1IE7VIO9SBKN85UT-1,The man wanted to buy the house with his salary but the _ was too expensive.,house,salary,1
3ABAOCJ4RAI621EE9V4ZN8UHSTJMQO-2,Jessica was crying because Felicia stole their doll. _ was happy for the rest of the day.,Jessica,Felicia,2
3EKZL9T8Y8K1MX4DTIBRJ09VDDZHCC-1,Eric was a well-respected consultant but Logan was not. _ made a lot of money doing consulting work.,Eric,Logan,1
3IKMEYR0LWTFQ5DJ2APIKFG1YMRK2I-2,The quality of music produced largely depends on the instrument used. The _ is vital.,Music,Instrument,2
3TZ0XG8CBUI6VOWHEU7U4XFO4BY893-1,Mary is casting a blank stare off to nowhere seeming to look through Carrie so _ has a dazed look on her face..,Mary,Carrie,1
31HLTCK4BN9YFZE9KR0EGQ9SD6PGVL-2,I couldn't pass my math class even though I hired a private tutor. I guess the _ was too inept.,class,tutor,2
3YGE63DIN8VZPV4MC147P2HHJEQ0WH-2,Logan thought the aquarium needed a new fish but Robert though it needed something different so _ bought a seahorse for it.,Logan,Robert,2
3O71U79SRD3IFHTR1ZT4I89IA9LSMK-1,I chose the sneakers instead of the boots because the _ were more affordable for me.,sneakers,boots,1
3YKP7CX6G4T0DS52M75K912RA31B7Z-2,Kevin went wine tasting and asked Justin to come along but _ liked to make it a personal event.,Kevin,Justin,2
37VUR2VJ6C35CBI6BRK6JBHXRCJC1G-1,So _ turned on the fan because Christine was hot while Victoria was cold for some reason.,Christine,Victoria,1
3D06DR5225HZLW8Q01VD5AR3UY4MAJ-1,"Robert used their camera to take a picture of Michael, because _ was a good photographer.",Robert,Michael,1
3MYASTQBG79O4I9UC4TWCKJEUNJDQV-1,Megan had to prepare in advance to see Jennifer. It bothered _ to be spontaneous and unorganized.,Megan,Jennifer,1
3B9J25CZ27R56VH0OAZQFC45F2ESCA-2,Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.,Megan,Elena,2
3E9VAUV7BWCZFDX4J4JOZ5EA8SQYA2-1,Emily got himself into a difficult situation abroad as opposed to Rachel since _ was careless.,Emily,Rachel,1
3QREJ3J435B0LGYYWEJNR93IS2JKLB-2,The diamonds on the earrings were brighter than the ones on the ring although the ones on the _ were clearer.,earrings,ring,2
3HEADTGN2R6P4PNN02UQFUNYESFVRY-2,"The restaurant was known for their nachos, but not their tacos. The _ were much blander.",nachos,tacos,2
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,2
31S7M7DAGI4ZOZOLQNXFS0QEB4XLTJ-1,Leslie had better grades than Derrick because _ spent more time studying than playing video games.,Leslie,Derrick,1
3JGHED38EF5WQ0YDWZJ4HC0TWD57Y1-2,"Mary decided to ask Tanya to apply cream to their skin, because _ was willing to provide a favor.",Mary,Tanya,2
3YKP7CX6G4T0DS52M75K912RATAB7O-1,The beefed up doorman let patrons that were on his list into the club until the _ was full.,club,list,1
3MIVREZQVHWWIOF44LFJGXE4EVAKQ7-2,"Brett did better on the algebra test than Christopher, because _ never studied hard..",Brett,Christopher,2
3AJA9FLWSCW8L4Z7Q2JDRIVDA8XIFI-1,Ryan had to use a calculator on the test but Michael didn't because _ was very bad at math.,Ryan,Michael,1
372AGES0I6JH8ESI0HV83FKJUIWRX0-2,"Victoria was scared of grasshoppers, while Patricia loved them, so _ chose to adopt the grasshoper.",Victoria,Patricia,2
3GL25Y68458QBYFQV9ZRHGQ9OLSXMT-1,The meditation center replaced the wood on the floor with foam since the _ was uncomfortable for concentration.,wood,foam,1
30Y6N4AHYRA3A8N19HUW98HREYIRDS-1,"The funeral of Amy was being attended by Erin, because _ was loved by kin.",Amy,Erin,1
3YD0MU1NC2ZG0T13WVTOMSUDZB27AQ-2,"Megan loved animals but Jennifer did not, so  _ did not smile when she saw the puppy.",Megan,Jennifer,2
36BTXXLZ2XMQAC48G6T364NM2V3R4G-2,"We didn't like the consultant because he reccommended a car instead of a train, because the _ was cheap.",car,train,2
34ZTTGSNJZ2KAND3IYOMV3MLCG0HQ9-1,"Brett was always trying to get as much calcium into his body as possible unlike Kyle, because _ had a deficiency.",Brett,Kyle,1
3GKAWYFRAPR3468FCRE7CFT4PLHPDO-1,She went to the beach and swam in the water because it was such a sunny day and the _ was hot.,beach,water,1
3O0M2G5VC8GK6C8MMPTHFJNSX65499-2,"He tried to put all of the money in the safe, but it wouldn't fit because the _ was too little.",money,safe,2
3K1H3NEY7NDCLIENT60KA43KCB8GDU-2,Angela is skimming quickly over the article that Jessica just wrote because _ is an author.,Angela,Jessica,2
3ATYLI1PRT0YMSW67NN3QDJRFODJOH-1,The group of friends attended the party thrown by Christopher instead of the one thrown by Brett since _ had a pool table.,Christopher,Brett,1
3WRBLBQ2GR63S9EMXW0P3ZVTPRFG0F-2,The guidelines were easy for Eric but not Lawrence to follow because _ had problems with rules and authority.,Eric,Lawrence,2
3ZZAYRN1I6PS0VSBJH17SJ60DSTOTK-2,"Although Angela was overall a nicer person than Natalie, _ often did practice humility very regularlly.",Angela,Natalie,2
3R5OYNIC2ENPFK3JIFQM9HZYG0NTPM-1,"Patricia has a trouble with training her horse and wants Tanya's help, because _ wants her horse to behave.",Patricia,Tanya,1
311HQEI8RUUWVQ8ISLLNVJ9U1617ZF-1,Mary had a worse tennis stroke than Betty because _ spent less time playing the sport.,Mary,Betty,1
37VHPF5VYC18TM3KQEHL6NGWFE8C80-1,The bucket was a better choice than the cup to carry water because the _ held more.,bucket,cup,1
3HY86PZXPYG5FK3DNKE1H1TRMMGE1G-2,Craig came over to Logan's house and helped him get stains out of his carpet.  _ was grateful.,Craig,Logan,2
3L60IFZKF5W7XUE0Z81SMPUKKNMHHI-2,She hated the way her hair looked after using the flat iron because the _ was hot.,hair,iron,2
33KGGVH24WVTF9T12NGTXO27SU81X8-1,Joseph has a white puppy and Logan has a brown puppy. _ feeds his white puppy oatmeal for breakfast.,Joseph,Logan,1
3MZ3TAMYTLL5OU4GHXJ7879WI9EIRE-2,Michael could not see the city behind the mountain that was in front of him. The _ was near.,city,mountain,2
3NCN4N1H1IVPGDXP2EM95YOHAEMBNI-1,"William works a lot closer to the doors that go outside than Kenneth, because _ works on the ground floor.",William,Kenneth,1
3HRWUH63QU08X8H9H6JWAE0H7BCN5F-2,"Since Maria had straight teeth and Lindsey did not, _ was told that they needed to get braces.",Maria,Lindsey,2
356TQKY9XFV2H58OZX9AQ1OIE5778W-2,Samuel flung the pigeon into the air to free it while Jeffrey sobbed. _ was sad about the situation.,Samuel,Jeffrey,2
3S1WOPCJFGRCA1JHD9K7L1PDG2BEJD-2,"We brought flashlights to the gravesite rather than torches, since the _ shed a frightening light.",flashlights,torches,2
3R868ACW4SA0UUKC1QDH9YYF7XZZGP-1,"Erin always had a steady stream of clients unlike Angela who only had a few clients because, as a professional, _ was very knowledgeable of tax laws.",Erin,Angela,1
3X2YVV51PU2ZWKP48K87370RTQKW1D-2,Carrie told Sarah that she was going to grow her hair super long to be attractive to men.  _ was skeptical.,Carrie,Sarah,2
375VSR8FVYN6D9SX1ZJT000V3OQZRG-2,Jojo planted a rose in the pot on the table but the _ was too large.,pot,rose,2
338GLSUI45PC971AFCPRNIP9D67SF7-2,I selected the hammer instead of the mallet as my tool choice since the _ is heavier and I'm out of shape.,hammer,mallet,2
3ZXV7Q5FJD2W2QCEIQZR8DLRRG4CF6-2,The food was sprinkled with salt. We added pepper to the dish as the _ made it balanced.,salt,pepper,2
307L9TDWJYQ5JTU53NV3VH2XTDF3NV-2,"Elena does not sweat at all when she lies, Jessica does therefore _ tells the truth.",Elena,Jessica,2
3D5G8J4N5CI2K40F4RZLF9OH4WJVTO-2,All of the reasons were so much better than the excuses because the _ were lies.,reasons,excuses,2
33CLA8O0MKP08S1X0NPMX8KDSL8FRP-1,The toilet is worse than my wife's closet because the _ is a small space.,toilet,closet,1
3E24UO25QZOMYXHZN4TEH9EMTJQO6F-2,Betty ends up with a lot more knots in their hair than Mary because _ has short hair.,Betty,Mary,2
