context,question,label,answerA,answerB,answerC,answerD,answerE
A woman sells flowers and incense at the market .,Who sells something?,B,A photo,A woman,A girl,on his graffiti artwork,None of the above
A woman sells flowers and incense at the market .,What does someone sell?,B,meat,flowers and incense,An elderly lady in a brown hooded coat,a left handed Fender Stratocaster,None of the above
A woman sells flowers and incense at the market .,Where does someone sell something?,C,A woman with curly brown hair and a blue skirt,A man with a yellow shirt and blue jeans,at the market,across the shore,None of the above
People walking along a river near a beautiful homestead .,Where is someone walking?,A,along a river,a big event,a notepad,a larger boat,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who is demonstrating something?,D,on the ground,attempt to do a push up,as a group of hot air balloons are inflated before takeoff,A young man,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,What did someone demonstrate?,B,the framing of new building,his prowess,towards the crowd and the rest of the field,The dirty vehicle,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who did someone demonstrate something for?,B,to the camera,his girlfriend,Six people,glasses and a black blouse,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,When did someone demonstrate something?,A,as she sits on a concrete wall,near a red car,purple and black floral stretch pants,with ice cream and ice cream cones on it,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who sits somewhere?,C,on his graffiti artwork,a pharaoh 's headdress,A young man,in awe,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Where does someone sit?,A,on a concrete wall,Woman with yellow button up shirt and jeans,a canoe,a stick,None of the above
A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,What does someone sit on?,D,A guy who caught a giant fish,running on track,in a sunset,a concrete wall,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who is determined?,B,A blond - haired boy,A man,A body modifier,An elderly man,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who holds something?,A,A man,another one,a scythe,two other men in the background,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",What does something hold?,D,while watched by a defender in blue,at a playground,into a microphone,a small wooden hammer,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",When does someone hold something?,A,while wearing a bib displaying a large red crab,An old gray - haired man,white gloves,a yellow belt,None of the above
"A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who is wearing something?,A,A man,""" Come on now , what 's gayer than tea """,across the shore,A group of children and adults,None of the above
