context,question,label,answer1,answer2,index1
"During his two terms in office, President Harry S. Truman appointed four members of the Supreme Court of the United States: Chief Justice Fred M. Vinson, Associate Justice Harold Burton, Associate Justice Tom C. Clark, and Associate Justice Sherman Minton.",What was Truman ' s job title ?,yes,president harry,organize ways to kill the terrorists,7384
"Episode 1 is a venture fund set up to invest in early-stage technology companies based in the UK. The three partners behind the fund – Simon Murdoch, Damien Lane and Adrian Lloyd – are experienced entrepreneurs and investors, and have been through every stage of the start-up process, from inception to initial public offering. The firm invests between £250,000 and £2 million in UK based early-stage companies. Episode 1's first fund was launched in 2013 and totalled £37.5m. Its objective is to give a better start to the next generation of British tech ventures than their predecessors. It was created with a mixture of public and private money, including backing from Alex Chesterman of Zoopla Property Group. It is one of the UK Government's Enterprise Capital Funds – set up to support fund managers who invest in small, high-growth businesses. The £12.5 million of private investment was matched with £25 million of public money. The government's Business Secretary Vince Cable endorsed the launch of the fund, saying it 'will target a serious gap in the equity market for high-growth small firms'.The firm launched a second Enterprise Capital Fund totalling £60m in November 2017. The focus of the second fund is also early stage UK based businesses. ",How much did Episode 1 ' s first fund total ?,yes,£ 12,odi ).,7212
"Robin Frijns (born 7 August 1991) is a Dutch motor racing driver. He is the 2012 Formula Renault 3.5 Series champion, and the first driver to have won the series in his debut season since Robert Kubica in 2005. Frijns is currently competing in Formula E driving for Envision Virgin Racing and in Deutsche Tourenwagen Masters for Audi Sport Team Abt. Frijns achieved his first Formula E podium finish in his second outing in the category, and claimed his maiden victory at the 2019 Paris E-Prix.",What is Frijns ' current title ?,yes,currently competing,nds became,2994
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",How much did it take him to write the letter?,yes,15%,first three seasons,618
A few people with bags opening a shutter .,What is opening something?,no,hands,organisation platforms emerging,11241
they are waiting in a queue to get the admission .,Who gets something?,no,Students,sydney cricket ground,9820
"White privilege, or white skin privilege, is the societal privilege that benefits white people over non-white people in some societies, particularly if they are otherwise under the same social, political, or economic circumstances. With roots in European colonialism and imperialism, and the Atlantic slave trade, white privilege has developed in circumstances that have broadly sought to protect white racial privileges, various national citizenships and other rights or special benefits.In the study of white privilege, and its broader field of whiteness studies, academic perspectives such as critical race theory use the concept to analyze how racism and racialized societies affect the lives of white or white-skinned people. For example, Peggy McIntosh describes the advantages that whites in Western societies enjoy and non-whites do not experience, as ""an invisible package of unearned assets"". White privilege denotes both obvious and less obvious passive advantages that white people may not recognize they have, which distinguishes it from overt bias or prejudice. These include cultural affirmations of one's own worth; presumed greater social status; and freedom to move, buy, work, play, and speak freely. The effects can be seen in professional, educational, and personal contexts. The concept of white privilege also implies the right to assume the universality of one's own experiences, marking others as different or exceptional while perceiving oneself as normal.Some scholars say that the term uses the concept of ""whiteness"" as a proxy for class or other social privilege or as a distraction from deeper underlying problems of inequality. Others state that it is not that whiteness is a proxy but that many other social privileges are interconnected with it, requiring complex and careful analysis to identify how whiteness contributes to privilege. Other commentators propose alternative definitions of whiteness and exceptions to or limits of white identity, arguing that the concept of white privilege ignores important differences between white subpopulations and individuals and suggesting that the notion of whiteness cannot be inclusive of all white people. They note the problem of acknowledging the diversity of people of color and ethnicity within these groups.Some commentators have observed that the ""academic-sounding concept of white privilege"" sometimes elicits defensiveness and misunderstanding among white people, in part due to how the concept of white privilege was rapidly brought into the mainstream spotlight through social media campaigns such as Black Lives Matter. As an academic concept that was only recently brought into the mainstream, the concept of white privilege is frequently misinterpreted by non-academics; some academics, having studied white privilege undisturbed for decades, have been surprised by the seemingly sudden hostility from right-wing critics since approximately 2014.",What is the term white privilege used to refer to ?,yes,white privilege denotes,august 26,5839
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,no,several hours,drury lane,500
"David Lance Arneson (; October 1, 1947 – April 7, 2009) was an American game designer best known for co-developing the first published role-playing game (RPG), Dungeons & Dragons, with Gary Gygax, in the early 1970s. Arneson's early work was fundamental to the development of the genre, developing the concept of the RPG using devices now considered to be archetypical, such as adventuring in ""dungeons"" and using a neutral judge who doubles as the voice and consciousness of all other characters to develop the storyline.Arneson discovered wargaming as a teenager in the 1960s, and began combining these games with the concept of role-playing. He was a University of Minnesota student when he met Gygax at the Gen Con gaming convention in the late 1960s. In 1970 Arneson created the game and fictional world that became Blackmoor, writing his own rules and basing the setting on medieval fantasy elements. Arneson showed the game to Gygax the following year, and the pair co-developed a set of rules that became Dungeons & Dragons (D&D). Gygax subsequently founded TSR, Inc. to publish the game in 1974. Arneson worked briefly for the company.",What was Arneson ' s occupation at the time he met Gygax ?,yes,minnesota student,back,5152
"An older man sitting on a blue stool playing a sitar for money , with a young boy sitting on a white sack next to him .",What is someone sitting on?,no,sack,4 january,11903
"Steve Peters (born 5 July 1953) is an English psychiatrist who works in elite sport. He is best known for his work with British Cycling. He has published three books, The Chimp Paradox in 2012, My Hidden Chimp in 2018 and The Silent Guides in 2018.",What was Steve Peters ' s date of birth ?,yes,born 5 july 1953,the statue,1148
A man is using a wrench to fix the wheel of his car while a blond woman helps him .,Who helps someone?,no,a blond girl,"1864 – 1938 ),",8630
