context,question,label,answer1,answer2,index1
He jumped into the pile of leaves we just finished raking .,Where did someone jump?,no,dirt,kid,260
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is wearing something?,no,someone,A person with a black knapsack and wearing a helmet,46
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood .,How is something hung?,no,from,oars,2408
"A black woman wearing a "" your daily cup "" t - shirt and making espresso .",How did someone wear something?,yes,espresso,stuff,1634
A fancily dressed elderly man plays a baritone as it is set aflame .,What does someone play?,no,song,water,3720
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",What is someone holding?,no,gown,side,726
A hiker discovers a feature in an otherwise barren town .,Where does someone discover something?,no,in an otherwise barren landscape,another woman,2421
A vendor and others discussing products and pricing at a mall kiosk .,Who is discussing something?,no,A vendor and customer,father,3071
"A they dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who was dressed?,no,A man,next to a police cruiser,165
A chef is preparing some skewers with some sort of meat on it .,Who is preparing something?,no,they,in a restaurant kitchen,1438
An African dressmaker puts the finishing touches on a garment while two women watch .,Who puts something?,yes,An African dressmaker,after,1107
A toddler wearing a pink shirt and jeans is placed on a shopping path while sitting next to a loaf of bread .,Where is something placed?,no,on a shopping cart,mother,767
Voters are waiting to vote .,Who is waiting?,no,said,door,1626
A man is using a wrench to fix the wheel of his car while a blond girl helps him .,What is someone using?,yes,wrench,student,606
"A man in an aqua colored shirt , a sailor , a young boy wearing a red shirt and some other people tug on ropes while standing on a ship 's deck .",Who tugs?,no,they,another,624
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,Where does something pass?,no,their,his eyebrow raised,2874
An asian man attempts to put out a wildfire with a small wooden bucket .,What did someone put up?,yes,a wildfire,together,4381
"A black and white spaniel gently mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .",What is someone disgusted by?,no,response,just,3174
A man is describing them using chalk on a chalkboard .,What is someone describing?,no,stuff,base,2165
A lady adventurer with snowshoes is taking a walk in a snow covered area and checking her phone .,What is someone taking?,no,a break,music,3629
Three black women in different uniforms run at varying paces at a racetrack .,Who runs?,no,Three black runners,dress,4253
Women dress in a blue shirt standing next to a man holding a pitchfork he used to spread the hay around as the crowd looks on .,When did someone use something?,no,around,hall,324
"An Indian women sitting down with her hand outstretched , in a blue dress and expensive jewelry .",How is someone sitting?,no,shoes,their,4196
A man with a cellphone calling and two women are sitting on the beach,What is someone sitting on?,no,side,a flowered sofa,1502
A man in a blue top and camouflage pants is running a weed game .,What is someone running?,no,a weed eater,make,3663
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the city .,How did someone hold something?,no,with a crowd and a brick building in the background,house,811
A woman wearing headphones enjoys her coffee while writing on a notepad .,When does someone enjoy something?,yes,notepad,strong,3142
An Asian man wearing metallic armor riding a brown horse is raising his arm in a field .,Who is raising something?,no,people,while holding a lavender bag with white embroidery,3790
"A man wearing a breathing filter is painting some marks with red paint on a large , blue painting .",Who is wearing something?,no,someone,A bricklayer,4188
A black and tan dog being held with a lease .,What is held with something?,no,were,into the distance,2886
A man wearing a red shirt and a white and dark cap is standing underneath a wall outside a building .,Where is someone standing?,no,underneath a canopy,understanding,1345
An Asian man is dressed as an explorer is posing with a girl dressed up as a movie starlet .,Who is someone posing with?,no,a woman,"smores with tinfoil , Hershey 's chocolate , graham crackers and marshmallows",2001
Spectators looking on while court jesters are in the room throwing something up in air .,Where is someone throwing something?,no,in the street,light,667
A middle - aged man sits in an industrial workspace reading a newspaper .,Where is someone reading something?,yes,workspace,there,2274
A sanitation someone in bright yellow safety garb hauls bins down a sidewalk .,Who bins somewhere?,no,A sanitation worker,The motorist,2919
Many people gather to watch a new invention .,Who watches something?,no,they,A man,2814
"A worker in a blue shirt is high up on the outside of a tall office building , cleaning the windows .",Who is cleaning something?,no,someone,mouth,1630
A group of men are re - enacting a battle and have a woman as their prisoner .,Who is enacting something?,no,them,dustpan,3558
A woman in wearing a white hat holding a scythe and a cutting of wheat .,What is someone holding?,yes,scythe,a bicycle,2088
The student observes a microscope slide through a microscope while trying to match what she does with images in her workbook .,What is someone trying to do?,no,to match what she sees,most,2935
"A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .",Who stands?,no,girl,hand,1040
At a fencing tournament in a gymnasium two fencers engage in a duel with their swords .,Who engages in something?,yes,fencers,there,4008
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,What does someone prevent?,yes,germs,in frustration,2312
"A man is standing in the street wearing an elaborate outfit which includes a blue t - shirt , suspenders and purple tights .",How is someone standing somewhere?,no,costume,shirt,3366
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",What was someone wearing?,no,dress,group,2496
"A man is sitting on a bannister on a pier holding a bunch of colorful balloons , while more balloons tied to the bannister behind him blow in the wind .",Where is something tied?,yes,to the bannister,UPS packaging,3805
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Who is sitting somewhere?,yes,toddler,A man,770
A child that is dressed as Spiderman is ringing the doorbell .,Who is ringing something?,no,someone,very,62
Two men working at a Donut Shop promote their new product candied apples as Customers decide what is the healthiest option .,Who decides something?,no,they,A child,3412
A man stands with his parrot while passersby look on amused .,When does someone stand with something?,no,them,a horse,2176
Here is a picture of a two middle easterners walking on the streets to their favorite stores .,Where is someone walking somewhere?,no,people,that,1902
A boy plays within the path of a large outdoor meditation labyrinth .,Where does someone play?,no,camp,some bike maintenance,136
A parasurfer gets pulled up above and to the side of a big splash he just made .,How is someone pulled?,no,from,place,3396
"There are two women smiling , one with a red jacket and blond - hair and another wearing a black pantsuit .",Who is wearing something?,no,people,dry her hair,1668
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who squeezes something?,no,someone,Causal orchestra members,220
Celebrating St. Patrick 's church at 2:10 pm & an police officer is going inside a room .,What is being celebrated?,no,St. Patrick 's Day,people,2741
A man in white wearing a Yarmulke is in front of a microphone with several other men in the background .,Who is wearing something?,no,women,a guitar,1402
"After a great performance , these performers bow down in respect of the audience .",How does someone bow somewhere?,no,people,vessel,2450
A when wearing shorts is feeding two llamas or alpacas in a field .,Who is wearing something?,no,A woman,baby,3437
Several just getting together to play the bagpipes and eat some cuisine .,Who is getting?,no,Several individuals,this,4337
Three children play together and act like celebrities with their props .,Who acts?,no,they,This red - haired darling,1642
