sentence,question,answer,label,category,id
"He also had very short legs, but really big paws.",What happened before he had big paws?,he had little paws,yes,Event Ordering,1350_MC_TACO
Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,How long did it take for Mr Barco to accept military aid?,a day,yes,Event Duration,3596_MC_TACO
"Durer rejected Alberti's concept of an objective beauty, proposing a relativist notion of beauty based on variety.",How long did it take Alberti to form his concept of objective beauty?,3 day,no,Event Duration,933_MC_TACO
"The issues I've dealt with through the years have been on the side of helping people maintain the basics of life - home, healt h care, jobs and family.""",What happens after they help someone maintain their home?,they are thanked,yes,Event Ordering,455_MC_TACO
"Wallace, 38, called Gastonia home from the age of 8 until she graduated from Hunter Huss High School in 1983.",How many times a week did Wallace go to school?,1 times,no,Frequency,3289_MC_TACO
"Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory.",How often are corporate secrets stolen after they've been erased?,approximately seventy times every year,no,Frequency,7201_MC_TACO
"Joe's parents are farmers and they have a huge farm with cows, chickens, and ducks.",What day did Joe's parents get chickens on their farm?,tuesday,yes,Typical Time,9037_MC_TACO
Hamilton attacked his political opponents as demanding freedom for themselves and refusing to allow it to blacks.,What did Hamilton do before his political career?,died as a lawyer,no,Event Ordering,3395_MC_TACO
"Since then, she has earned promotions from managing attorney, senior attorney, then director of the Council on Aging project.",When did she earn her promotions?,in the last few years,yes,Typical Time,5804_MC_TACO
He estimated the money will help handle at least another 180 cases next year.,How long did it take to raise the money?,it took three weeks to raise the money,yes,Event Duration,7303_MC_TACO
"By the beginning of the fourth century the Algarve had a bishop in place, based in Faro.",How long did the bishop remain in Faro?,0.11 day,no,Event Duration,3558_MC_TACO
"The music , in a garage punk vein , plays an important role in the film .",What happens after the music plays in the film?,the hero saves another person,yes,Event Ordering,1418_MC_TACO
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,How long did the elections take?,by washington provided  to freely elected governments,no,Event Duration,3264_MC_TACO
"Still , Preetam vows to marry Nandini if she meets him again .",How long had they known each other?,30 years,no,Event Duration,64_MC_TACO
"Joe's parents are farmers and they have a huge farm with cows, chickens, and ducks.",How often do Joe's parents add new animals to the farm?,twice a night,no,Frequency,9031_MC_TACO
"He tried and tried to please every person who came to the store, but they all picked smaller puppies.",What did they do after picking small puppies?,went home,yes,Event Ordering,2388_MC_TACO
She ordered the tastiest kind of each vegetable and the prettiest kind of each flower.,When did she order them?,at 5 am,no,Typical Time,601_MC_TACO
A plant uses a lot of energy to produce nectar.,How long does it take to produce nectar?,45 years,no,Event Duration,1490_MC_TACO
Then they laid down on some towels and enjoyed the sun.,How long did they enjoy under the sun?,they enjoyed 2 hours under the sun,yes,Event Duration,1622_MC_TACO
He also promises to `` come to '' him .,What time will he come?,at 4 pm,yes,Typical Time,566_MC_TACO
The CIA now estimates that it cost al Qaeda about $30 million per year to sustain its activities before 9/11 and that this money was raised almost entirely through donations.,How often did al Qaeda receive donations prior to 9/11?,every month,yes,Frequency,151_MC_TACO
Fossils tell an obscure story of man's slow and sporadic development.,How long does it take a fossil to form?,"10,000 seconds",no,Event Duration,2374_MC_TACO
Another unit was added on to the communal dwelling each time a marriage created a new family.,How often are units added?,once each 20 weeks,no,Frequency,3636_MC_TACO
"The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks.",What happens after the wafers are put on tracks?,they're destroyed,no,Event Ordering,228_MC_TACO
He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,When did the pirates last collect tribute from a passing ship?,5 week ago,yes,Typical Time,2827_MC_TACO
"Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle-class family headed by his father, an attorney.",How many cases a month does his father work on?,500,no,Frequency,2352_MC_TACO
"This aversion to war also led Einstein to befriend author Upton Sinclair and film star Charlie Chaplin, both noted for their pacifism.",When did Einstein befriend the authors?,90 years ago,yes,Typical Time,725_MC_TACO
"However , by the time Schahzenan's army reaches the city , Scheherazade's plan has worked .",What happened after Scheherazade's plan had worked?,tele-communications and time worked,no,Event Ordering,8385_MC_TACO
"The mother, looking on, learns of the ways of God with men.",How long did the mother look on?,45 years,no,Event Duration,4002_MC_TACO
"Search ""Emiliano Malaquez"" and you'll find he's a master of the ""captured moment"" school of sculpture.","How long does it take to make a ""captured moment"" sculpture?",0.4 weeks,no,Event Duration,970_MC_TACO
She had it for a long time so it is now a dark brown color.,How often does she use it?,once a week,yes,Frequency,7160_MC_TACO
Max seemed to be happy to have his human by his side as well as a new doggy friend.,How often does Max see his doggy friend?,three times a second,no,Frequency,2207_MC_TACO
"During a blackout , the house is attacked by aliens , who had previously killed Joe and abducted Iris .",How often do the aliens attack houses?,aliens don't attack houses very often,yes,Frequency,3757_MC_TACO
"When Mary called Max's name he left the squirrel and happily returned to Mary, wagging his tail as he went.",How often does Max play with squirrels?,every year,no,Frequency,2869_MC_TACO
It's just this hard when I try to answer the question: Why do older Oklahomans need lawyers?,How often do Oklahomans need lawyers?,every few hours,no,Frequency,1786_MC_TACO
"The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks.",For how long do the wafers ride on tracks?,two seconds,no,Event Duration,233_MC_TACO
They woke up and the sun was beginning to set.,How often do they sleep during the day?,every minute,no,Frequency,2955_MC_TACO
"He tried and tried to please every person who came to the store, but they all picked smaller puppies.",What did they do after picking small puppies?,he tried to block his opponent,no,Event Ordering,2387_MC_TACO
"After the second World Trade Center crash, Boston Center managers recognized that both aircraft were transcontinental 767 jetliners that had departed Logan Airport.",What time did the planes crash into the World Trade Center?,9:00 AM,yes,Typical Time,630_MC_TACO
Charlie decides to rob the train with the help of imprisoned Don and con-artist Victor Braganza .,What happened after they robbed the train?,they got arrested,yes,Event Ordering,2933_MC_TACO
"Alexander then faced the Assakenoi, who fought in the strongholds of Massaga, Ora and Aornos.",What did Alexander do after facing the Assakenoi?,he escapes,no,Event Ordering,4871_MC_TACO
"He also had very short legs, but really big paws.",What happened before he had big paws?,he had not one but four advisers,no,Event Ordering,1353_MC_TACO
Magnets are able to place a force on certain materials.,What happens after the force is placed?,nothing,no,Event Ordering,3283_MC_TACO
"Previously, it offered $13.65 a share in cash, or $29 million.",When did they stop offering $13.65 a share?,the share has maintained the price of 1.52 indefinitely,no,Typical Time,2328_MC_TACO
She added a special growing mix from the garden store to make the soil better.,What happened after the growing mix was added?,the plants died,no,Event Ordering,8959_MC_TACO
"Human operators are there to monitor the systems, catch errors and fine-tune the production process for maximum efficiency.",How long do human operators monitor the systems?,they monitor the system for 15 years,no,Event Duration,8767_MC_TACO
At this early stage in its history Japan was already (for the most part) only nominally ruled by the emperor.,How often does the emperor publicly speak?,once a century,no,Frequency,3716_MC_TACO
Their mother told them they could go to the library every Tuesday for their story time.,How long did story time last?,a few days,no,Event Duration,5955_MC_TACO
"Partial lunar eclipses occur at least twice a year, but total lunar eclipses are less common.",How often do lunar eclipse happen?,3 times a hour,no,Frequency,910_MC_TACO
"They first traveled by plane around Europe, where they saw many different people and sights.",How long was their average plane flight?,5 hours,yes,Event Duration,3775_MC_TACO
"The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.",How often did the 9/11 attack occur?,each year,no,Frequency,3326_MC_TACO
Hamilton attacked his political opponents as demanding freedom for themselves and refusing to allow it to blacks.,What did Hamilton do before his political career?,he worked as a lawyer,yes,Event Ordering,3394_MC_TACO
Christianity was introduced into Gaul in the first century a.d.,What happened after it was introduced?,people spewing  into the street,no,Event Ordering,9380_MC_TACO
The award was voted on and presented by the women's caucus of West Virginia University College of Law.,How long did the award ceremony last?,2 minutes,no,Event Duration,6266_MC_TACO
"In 27 percent of the cases, the charges were dismissed or the defendant was found not guilty.",What did the defendants do after the charges were dismissed or they were found not guilty?,returned back to their families,yes,Event Ordering,1658_MC_TACO
He jumped on his favorite chair and looked down as Maggie ran under it.,How long did it take him to jump on the chair.,2 years,no,Event Duration,5312_MC_TACO
Her mommy took her to the dog pound so that she could choose one that she wanted.,How often do they visit the dog pound?,once in five hours,no,Frequency,2027_MC_TACO
"Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory.",What happens after hacker steal the corporate secrets?,takes a rest,no,Event Ordering,7221_MC_TACO
"In actual practice, however, we act too often as if we only cared for economic values.",What day do we only care for economic values?,every other night,no,Typical Time,1291_MC_TACO
I clapped her shoulder to show I was not laughing at her.,How long did they laugh?,for a few centuries,no,Event Duration,673_MC_TACO
"The music , in a garage punk vein , plays an important role in the film .",When does the music start playing in the film?,at the very ends,no,Typical Time,1411_MC_TACO
"His son and successor, Caracalla, a great admirer, visited the tomb during his own reign.",When did he leave for the tomb?,his son paid,no,Typical Time,3369_MC_TACO
"The organization has already lost some staff through attrition and has turned away some cases, she said.",When did the attrition begin?,later,no,Typical Time,332_MC_TACO
"Then, he pretended he was his father and pretended that he was driving the tractor.",How often does he pretend to be his father and drive the tractor?,every day,yes,Frequency,2648_MC_TACO
"They also liked to go through the small forest behind the house, making a game of hide and seek.",How often do they play hide and seek?,once a morning,yes,Frequency,3417_MC_TACO
"California was first to require smog checks for clean air, pass anti-tobacco initiatives and bike helmets laws.",How long did it take for the other states to pass such initiatives?,two seconds,no,Event Duration,8867_MC_TACO
"Separately, Citadel posted a third-quarter net loss of $2.3 million, or 68 cents a share, versus net income of $5.3 million, or $1.61 a share, a year earlier.",How many months were in last quarter?,6,no,Event Duration,3507_MC_TACO
