context,question,answer,label
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,once every 30 ##s,no
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,once every 30 ##s,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Was he still being introduced an hour later?,no,yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and sent him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,"no, they forgot each other",no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,no,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,"yes, they were introduced",yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How much did the tour last?,-45,yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How far did the tour last?,-5,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",At what time did Einstein return to?,8:00 PM,yes
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,-2,yes
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,90 ##9,no
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,the flood of claims and counter-claims worried consumers,no
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,39 lenders across the u.s. offer no loans,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,they rested and regrouped,yes
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,Did the battle continue forever?,no,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,3000 times,no
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,1000 times,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,9000 times,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,7:00 PM,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,7:00 AM,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,5:00 AM,yes
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,2000 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1702 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How long did Arawak people die from European diseases?,the year 2000,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1925 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1000 people per year,no
About 30% of Ratners's income already is exported from the U.S.,How long did Ratners make a profit?,pichia pastoris made protein from natural gas-derived alcohol,no
About 30% of Ratners's income already is imported from the U.S.,What day did Ratners realize he had made profit?,"ratner first noticed a profit after expanding their market to the us, one hour ago on april 1st",no
About 30% of Ratners's income already is imported from the U.S.,What day did Ratners realize he had made profit?,"ratner first noticed a profit after expanding their market to the us, one second ago on april 1st",no
