question,label,answerA,answerB,answerC,answerD,id
name something you buy that you use mainly in the morning.,D,tea,wine,food,coffee,5858_protoqa
name a piece of boxing gear.,A,gloves,glove,fitted,pads,1954_protoqa
name a company that everyone wishes they'd bought stock in.,D,yahoo,software,ibm,microsoft,6908_protoqa
name something you might step on at the beach.,D,seashore,huaraches,lamborghinis,seashells,2843_protoqa
name an island nation.,B,city,australia,canada,spain,5145_protoqa
name a food that you wish was healthy so you could eat it every day,D,chocolate,pasta,starbucks,pizza,4684_protoqa
name something a woman might get more of just because she's incredibly good looking.,C,certain,cause,attention,change,7366_protoqa
name something that might be half-black and half-white.,A,animal,american,zombie,hipster,4055_protoqa
name the hardest musical instrument to learn how to play,B,cello,violin,ukelele,saxophone,5580_protoqa
name a state people visit during the winter.,A,florida,texas,chicago,georgia,145_protoqa
name a city you would be afraid to go trick or treating in.,A,detroit,houston,chicago,cleveland,5178_protoqa
which city in america charges the most for parking?,C,texas,florida,chicago,detroit,1064_protoqa
name something you might wear a pair of.,D,shoe,socks,boots,shoes,546_protoqa
tell me what most people hate.,A,skunk,wad,mule,jew,4173_protoqa
name something you wouldnt want your kid bringing home from school,C,peal,brine,lice,neti,78_protoqa
"if a woman nicknamed her boyfriend teddy bear, what might you guess about him.",B,some,big,this,up,6_protoqa
where in your office would make a good place to hide from your boss.,B,window,bathroom,floor,bedroom,6429_protoqa
name the month most people start shopping for holiday presents.,D,september,april,february,november,4576_protoqa
name a tiny creature which frightens big people.,A,spider,horse,turtle,snake,5799_protoqa
what thanksgiving dish would do the least damage if thrown at you in a food fight?,C,soldiers,turkish,turkey,italian,4236_protoqa
name something you do right before your picture is taken,A,smile,kiss,heart,hug,5541_protoqa
name something people eat with crackers,B,fries,cheese,salad,peanut,6802_protoqa
name the best u.s. state to raise a family.,C,georgia,chicago,florida,texas,5022_protoqa
name a place where youd be mortified if your cell phone went off,D,living,haven,house,church,3596_protoqa
name a place where you see husbands standing around waiting for their wives.,A,mall,downtown,town,beach,734_protoqa
name an occasion when people might include some cash in a card.,A,birthday,bday,welcome,happy,2736_protoqa
name something a king might insist he be buried with.,A,gold,diamond,blue,silver,1733_protoqa
what would you hear on the radio that would make you turn the station,D,duty,advert,machine,commercial,118_protoqa
name the person you spend the most money on at christmas.,D,all,other,old,kids,4704_protoqa
name something specific your mom is always sure to give you for christmas.,C,shoes,boots,socks,pants,6181_protoqa
name a reason why someone might miss their exit while driving on a freeway.,B,stalled,speeding,parked,blocking,5601_protoqa
name a food that's sloppy to eat.,C,lasagna,noodles,spaghetti,waffle,4915_protoqa
name a place you go to once or twice a week.,A,store,available,shop,walmart,6078_protoqa
name someone you don't want to get a phone call from.,B,court,police,suspect,officials,6718_protoqa
tell me an occupation where you have to touch your customers.,D,dominatrix,exfoliation,shopper,masseuse,2053_protoqa
name something people do on a nice day.,D,thrifting,sunbath,parasailing,sunbathe,3835_protoqa
tell me something that a teenager still needs from their parents.,A,love,baby,you,miss,6400_protoqa
name something you find in the lobby of a post office.,D,foodstamps,condoms,stamp,stamps,1975_protoqa
name something that scares you when you're driving.,D,pets,dogs,cats,animals,815_protoqa
name something a teenager has a lot of.,D,'re,all,guys,friends,3422_protoqa
name an item you might see in a movie star's home that wouldn't be in yours,A,maids,grannies,pooches,toddlers,2310_protoqa
name a place where cowboys hang out.,A,saloon,carwash,steamboat,lagoon,1734_protoqa
name something that people in the military use all the time.,D,hats,helmets,jerseys,uniforms,484_protoqa
name something your house might smell like around the holidays,B,cookie,cookies,donuts,pancakes,4892_protoqa
name an occupation whose members don't seem to smile very much.,C,orton,jericho,undertaker,lesnar,2545_protoqa
name something you see at a party that lets you know you'll have a great time.,D,consume,produce,vodka,alcohol,673_protoqa
name something you hang onto for dear life.,C,reason,honest,person,thing,385_protoqa
name something a parent might limit their childs time using,B,radio,tv,channel,video,1398_protoqa
name a tv soap opera.,A,eastenders,towie,corrie,hollyoaks,2681_protoqa
name a reason where you might not get hired after an interview.,B,telling,lying,hating,arguing,305_protoqa
name something that sways back and forth.,B,dive,swing,bike,moves,820_protoqa
name something you own that probably has worn out batteries in it:,B,waterproof,flashlight,vacuum,laser,6258_protoqa
name something batman doesn't leave the batcave without.,A,batmobile,animalier,rolls-royce,hovercraft,6239_protoqa
name something a pirate has to take off before he goes to bed,B,knock,hook,moves,steal,372_protoqa
name something you'd hate to notice about your clothes just after you left the house.,A,stain,wax,comb,stains,6922_protoqa
name something on your body that you want to be shiny,A,hair,eye,nails,glasses,1181_protoqa
"if you just ran a marathon,what would you need to do after the race was over?",A,rest,its,it,mine,4346_protoqa
name something you open other than a door.,A,cans,jars,grams,pouches,7361_protoqa
name an animal magicians use in their act.,B,monkey,rabbit,bunny,frog,7320_protoqa
name something you might accidentally leave on a bus.,B,wallet,purse,handbag,bag,2735_protoqa
name something a farmer might be embarrassed to say he doesn't know how to do.,D,plants,spill,oil,plant,7187_protoqa
name a wild animal that you'd be foolish to keep as a pet.,C,hawk,eagle,tiger,blue,2686_protoqa
name a color the sky turns when the weather gets bad.,B,mausoleum,darkened,doorway,dappled,539_protoqa
name something youd be disappointed to find your computer came without,C,cell,remote,monitor,gps,4652_protoqa
name something in your house you could not live without,C,video,radio,tv,channel,4641_protoqa
if all else fails name something people get for dad for the holidays,A,tie,shirt,ball,ring,43_protoqa
tell me someplace where a fight might break out.,C,roll,square,bar,hotel,5288_protoqa
name something most parents would let their teen experiment with,C,moving,running,driving,sitting,6753_protoqa
name an attribute of a high school cheerleader that could help her become president of the united states,B,gods,spirit,faith,glory,3509_protoqa
name something you might do in front of a doctor but not in front of most people youve just met,C,impregnate,smother,undress,misbehave,6809_protoqa
what kind of nut butter could you use if you were allergic to peanuts?,C,blueberry,coconut,almond,lemon,1012_protoqa
"tell me a way in which your office is kinda of like a ""soap opera""",B,drama,gossip,twilight,movies,2069_protoqa
in which profession would it be easiest to get away with wearing sweat pants?,A,janitor,librarian,chimp,resturant,48_protoqa
name something people all over the world might travel to see.,B,olympic,olympics,football,wrestling,1686_protoqa
"name something that begins with ""feel the ____"".",C,bulls,beat,heat,thunder,7180_protoqa
name something specific a mansion has in it that your house doesn't.,B,beach,pool,corner,boat,6898_protoqa
"we surveyed 100 married men...when your wife is talking to you, what are you thinking about?",B,kids,sex,porn,child,7558_protoqa
tell me a bad habit that's difficult to break.,D,smoke,drinking,weed,smoking,2049_protoqa
name something great about being an adult.,C,gods,faith,freedom,democracy,646_protoqa
name a game that has a specific type of table,B,boat,pool,beach,corner,1283_protoqa
name the most popular event at the winter olympics.,B,tailgate,snowboarding,skating,skiing,857_protoqa
tell me something that is plugged into an outlet in a hotel room.,D,steel,inch,shelf,lamp,458_protoqa
name something with a flame.,C,screws,upside,lighter,darker,3054_protoqa
tell me something you might keep under your sink.,B,broom,plunger,matress,febreeze,965_protoqa
other than movie tickets name something a crowded movie theatre might run out of,A,popcorn,cookies,cheesecake,cookie,5247_protoqa
name something that just about everybody has a jar of in their refrigerator.,C,sore,lg,jam,minggu,760_protoqa
name something a job ad should tell you about the job.,C,afford,money,pay,deal,1304_protoqa
name something a person needs to host a game show.,C,recorder,plug,microphone,keyboard,683_protoqa
name something you check under the bonnet of your car.,D,coal,plant,mining,oil,3073_protoqa
name something you'd hate to see your dentist holding.,B,rig,drill,pump,peak,2969_protoqa
tell me which one of yuor five senses you rely on the most.,A,sight,deep,mind,thoughts,5285_protoqa
name a piece of information that post people list in their personal's ads.,C,own,not,age,of,4478_protoqa
